Request id,Pickup point,Driver id,Status,Request timestamp,Date,Request Time,Request Time Slot,Drop timestamp,Drop Date,Drop Time
5771,Airport,4,Trip Completed,15-07-2016 08:30,15-07-2016,08:30,Morning,15-07-2016 09:37,15-07-2016,09:37
6106,Airport,4,Trip Completed,15-07-2016 15:01,15-07-2016,15:01,Afternoon,15-07-2016 15:47,15-07-2016,15:47
312,City,5,Trip Completed,11-07-2016 07:27,11-07-2016,07:27,Morning,11-07-2016 08:31,11-07-2016,08:31
577,Airport,5,Trip Completed,11-07-2016 11:03,11-07-2016,11:03,Morning,11-07-2016 12:01,11-07-2016,12:01
1179,City,5,Trip Completed,11-07-2016 20:58,11-07-2016,20:58,Night,11-07-2016 21:45,11-07-2016,21:45
1756,Airport,5,Trip Completed,12-07-2016 08:40,12-07-2016,08:40,Morning,12-07-2016 09:23,12-07-2016,09:23
2052,City,5,Trip Completed,12-07-2016 14:48,12-07-2016,14:48,Afternoon,12-07-2016 15:50,12-07-2016,15:50
2559,City,5,Trip Completed,12-07-2016 21:32,12-07-2016,21:32,Night,12-07-2016 22:29,12-07-2016,22:29
3014,City,5,Trip Completed,13-07-2016 07:28,13-07-2016,07:28,Morning,13-07-2016 08:29,13-07-2016,08:29
3317,City,5,Trip Completed,13-07-2016 12:14,13-07-2016,12:14,Afternoon,13-07-2016 12:46,13-07-2016,12:46
4297,City,5,Trip Completed,14-07-2016 06:43,14-07-2016,06:43,Early Morning,14-07-2016 07:49,14-07-2016,07:49
5857,Airport,5,Trip Completed,15-07-2016 09:08,15-07-2016,09:08,Morning,15-07-2016 10:07,15-07-2016,10:07
6690,Airport,5,Trip Completed,15-07-2016 22:41,15-07-2016,22:41,Night,15-07-2016 23:51,15-07-2016,23:51
1517,Airport,6,Trip Completed,12-07-2016 05:45,12-07-2016,05:45,Early Morning,12-07-2016 06:28,12-07-2016,06:28
1999,Airport,6,Trip Completed,12-07-2016 13:02,12-07-2016,13:02,Afternoon,12-07-2016 13:51,12-07-2016,13:51
2960,Airport,6,Trip Completed,13-07-2016 06:50,13-07-2016,06:50,Early Morning,13-07-2016 07:40,13-07-2016,07:40
3882,City,6,Trip Completed,13-07-2016 21:53,13-07-2016,21:53,Night,13-07-2016 22:45,13-07-2016,22:45
4081,Airport,6,Trip Completed,14-07-2016 02:37,14-07-2016,02:37,Early Morning,14-07-2016 03:30,14-07-2016,03:30
4740,City,6,Trip Completed,14-07-2016 14:50,14-07-2016,14:50,Afternoon,14-07-2016 15:38,14-07-2016,15:38
5270,City,6,Trip Completed,14-07-2016 21:33,14-07-2016,21:33,Night,14-07-2016 22:25,14-07-2016,22:25
6758,Airport,6,Trip Completed,15-07-2016 00:03,15-07-2016,00:03,Early Morning,15-07-2016 01:07,15-07-2016,01:07
5741,City,6,Trip Completed,15-07-2016 07:52,15-07-2016,07:52,Morning,15-07-2016 08:38,15-07-2016,08:38
6087,Airport,6,Trip Completed,15-07-2016 14:28,15-07-2016,14:28,Afternoon,15-07-2016 15:33,15-07-2016,15:33
1039,City,7,Trip Completed,11-07-2016 19:31,11-07-2016,19:31,Night,11-07-2016 20:41,11-07-2016,20:41
1273,Airport,7,Trip Completed,11-07-2016 22:07,11-07-2016,22:07,Night,11-07-2016 23:12,11-07-2016,23:12
2480,City,7,Trip Completed,12-07-2016 20:39,12-07-2016,20:39,Night,12-07-2016 21:28,12-07-2016,21:28
4105,City,7,Trip Completed,14-07-2016 03:39,14-07-2016,03:39,Early Morning,14-07-2016 04:39,14-07-2016,04:39
4509,City,7,Trip Completed,14-07-2016 09:11,14-07-2016,09:11,Morning,14-07-2016 10:17,14-07-2016,10:17
4986,Airport,7,Trip Completed,14-07-2016 18:52,14-07-2016,18:52,Evening,14-07-2016 19:50,14-07-2016,19:50
5898,City,7,Trip Completed,15-07-2016 09:50,15-07-2016,09:50,Morning,15-07-2016 10:40,15-07-2016,10:40
6142,Airport,7,Trip Completed,15-07-2016 15:50,15-07-2016,15:50,Afternoon,15-07-2016 16:36,15-07-2016,16:36
380,Airport,8,Trip Completed,11-07-2016 08:18,11-07-2016,08:18,Morning,11-07-2016 09:18,11-07-2016,09:18
1050,Airport,8,Trip Completed,11-07-2016 19:39,11-07-2016,19:39,Night,11-07-2016 20:30,11-07-2016,20:30
1769,City,8,Trip Completed,12-07-2016 08:57,12-07-2016,08:57,Morning,12-07-2016 09:24,12-07-2016,09:24
2520,City,8,Trip Completed,12-07-2016 21:05,12-07-2016,21:05,Night,12-07-2016 22:20,12-07-2016,22:20
3265,Airport,8,Trip Completed,13-07-2016 10:22,13-07-2016,10:22,Morning,13-07-2016 11:07,13-07-2016,11:07
4648,City,8,Trip Completed,14-07-2016 11:55,14-07-2016,11:55,Morning,14-07-2016 12:59,14-07-2016,12:59
449,Airport,9,Trip Completed,11-07-2016 09:08,11-07-2016,09:08,Morning,11-07-2016 09:52,11-07-2016,09:52
846,Airport,9,Trip Completed,11-07-2016 17:46,11-07-2016,17:46,Evening,11-07-2016 18:52,11-07-2016,18:52
1346,Airport,9,Trip Completed,11-07-2016 23:39,11-07-2016,23:39,Night,12-07-2016 00:23,12-07-2016,00:23
1474,Airport,9,Trip Completed,12-07-2016 05:13,12-07-2016,05:13,Early Morning,12-07-2016 05:56,12-07-2016,05:56
2240,City,9,Trip Completed,12-07-2016 18:20,12-07-2016,18:20,Evening,12-07-2016 18:54,12-07-2016,18:54
3072,Airport,9,Trip Completed,13-07-2016 08:04,13-07-2016,08:04,Morning,13-07-2016 08:36,13-07-2016,08:36
3459,Airport,9,Trip Completed,13-07-2016 17:03,13-07-2016,17:03,Evening,13-07-2016 17:31,13-07-2016,17:31
3774,Airport,9,Trip Completed,13-07-2016 20:41,13-07-2016,20:41,Night,13-07-2016 21:27,13-07-2016,21:27
4023,City,9,Trip Completed,13-07-2016 23:58,13-07-2016,23:58,Night,14-07-2016 00:58,14-07-2016,00:58
4117,City,9,Trip Completed,14-07-2016 04:21,14-07-2016,04:21,Early Morning,14-07-2016 05:07,14-07-2016,05:07
4880,Airport,9,Trip Completed,14-07-2016 17:58,14-07-2016,17:58,Evening,14-07-2016 19:02,14-07-2016,19:02
5568,Airport,9,Trip Completed,15-07-2016 05:47,15-07-2016,05:47,Early Morning,15-07-2016 06:25,15-07-2016,06:25
5994,Airport,9,Trip Completed,15-07-2016 11:51,15-07-2016,11:51,Morning,15-07-2016 12:32,15-07-2016,12:32
1809,Airport,10,Trip Completed,12-07-2016 09:13,12-07-2016,09:13,Morning,12-07-2016 10:01,12-07-2016,10:01
2064,Airport,10,Trip Completed,12-07-2016 15:08,12-07-2016,15:08,Afternoon,12-07-2016 16:14,12-07-2016,16:14
3210,City,10,Trip Completed,13-07-2016 09:47,13-07-2016,09:47,Morning,13-07-2016 10:52,13-07-2016,10:52
4350,City,10,Trip Completed,14-07-2016 07:24,14-07-2016,07:24,Morning,14-07-2016 08:22,14-07-2016,08:22
4713,City,10,Trip Completed,14-07-2016 13:31,14-07-2016,13:31,Afternoon,14-07-2016 14:10,14-07-2016,14:10
5629,Airport,10,Trip Completed,15-07-2016 06:33,15-07-2016,06:33,Early Morning,15-07-2016 07:19,15-07-2016,07:19
6157,Airport,10,Trip Completed,15-07-2016 16:32,15-07-2016,16:32,Evening,15-07-2016 17:44,15-07-2016,17:44
2030,City,11,Trip Completed,12-07-2016 14:11,12-07-2016,14:11,Afternoon,12-07-2016 15:02,12-07-2016,15:02
3226,City,11,Trip Completed,13-07-2016 10:00,13-07-2016,10:00,Morning,13-07-2016 11:02,13-07-2016,11:02
3353,City,11,Trip Completed,13-07-2016 13:29,13-07-2016,13:29,Afternoon,13-07-2016 14:09,13-07-2016,14:09
4293,City,11,Trip Completed,14-07-2016 06:42,14-07-2016,06:42,Early Morning,14-07-2016 07:12,14-07-2016,07:12
4936,City,11,Trip Completed,14-07-2016 18:22,14-07-2016,18:22,Evening,14-07-2016 19:14,14-07-2016,19:14
5661,Airport,11,Trip Completed,15-07-2016 07:08,15-07-2016,07:08,Morning,15-07-2016 07:59,15-07-2016,07:59
5778,City,11,Trip Completed,15-07-2016 08:22,15-07-2016,08:22,Morning,15-07-2016 09:13,15-07-2016,09:13
6425,Airport,11,Trip Completed,15-07-2016 19:46,15-07-2016,19:46,Night,15-07-2016 20:26,15-07-2016,20:26
45,Airport,12,Trip Completed,11-07-2016 03:17,11-07-2016,03:17,Early Morning,11-07-2016 04:09,11-07-2016,04:09
264,City,12,Trip Completed,11-07-2016 06:51,11-07-2016,06:51,Early Morning,11-07-2016 07:40,11-07-2016,07:40
1183,City,12,Trip Completed,11-07-2016 21:05,11-07-2016,21:05,Night,11-07-2016 21:38,11-07-2016,21:38
1536,Airport,12,Trip Completed,12-07-2016 05:59,12-07-2016,05:59,Early Morning,12-07-2016 06:59,12-07-2016,06:59
2437,City,12,Trip Completed,12-07-2016 20:18,12-07-2016,20:18,Night,12-07-2016 21:26,12-07-2016,21:26
2641,Airport,12,Trip Completed,12-07-2016 22:28,12-07-2016,22:28,Night,12-07-2016 23:05,12-07-2016,23:05
4077,Airport,12,Trip Completed,14-07-2016 02:14,14-07-2016,02:14,Early Morning,14-07-2016 03:13,14-07-2016,03:13
4610,City,12,Trip Completed,14-07-2016 10:35,14-07-2016,10:35,Morning,14-07-2016 11:39,14-07-2016,11:39
5066,Airport,12,Trip Completed,14-07-2016 19:31,14-07-2016,19:31,Night,14-07-2016 20:14,14-07-2016,20:14
5666,Airport,12,Trip Completed,15-07-2016 07:04,15-07-2016,07:04,Morning,15-07-2016 08:12,15-07-2016,08:12
5923,City,12,Trip Completed,15-07-2016 10:07,15-07-2016,10:07,Morning,15-07-2016 10:50,15-07-2016,10:50
6367,City,12,Trip Completed,15-07-2016 19:04,15-07-2016,19:04,Night,15-07-2016 19:46,15-07-2016,19:46
155,City,13,Trip Completed,11-07-2016 05:32,11-07-2016,05:32,Early Morning,11-07-2016 06:28,11-07-2016,06:28
310,Airport,13,Trip Completed,11-07-2016 07:24,11-07-2016,07:24,Morning,11-07-2016 08:28,11-07-2016,08:28
607,City,13,Trip Completed,11-07-2016 11:51,11-07-2016,11:51,Morning,11-07-2016 12:42,11-07-2016,12:42
1012,City,13,Trip Completed,11-07-2016 19:15,11-07-2016,19:15,Night,11-07-2016 19:57,11-07-2016,19:57
1696,Airport,13,Trip Completed,12-07-2016 08:01,12-07-2016,08:01,Morning,12-07-2016 08:42,12-07-2016,08:42
3076,City,13,Trip Completed,13-07-2016 08:09,13-07-2016,08:09,Morning,13-07-2016 09:12,13-07-2016,09:12
4198,Airport,13,Trip Completed,14-07-2016 05:32,14-07-2016,05:32,Early Morning,14-07-2016 06:45,14-07-2016,06:45
4627,City,13,Trip Completed,14-07-2016 11:13,14-07-2016,11:13,Morning,14-07-2016 12:00,14-07-2016,12:00
5289,City,13,Trip Completed,14-07-2016 21:43,14-07-2016,21:43,Night,14-07-2016 22:24,14-07-2016,22:24
5495,Airport,13,Trip Completed,15-07-2016 05:00,15-07-2016,05:00,Early Morning,15-07-2016 06:02,15-07-2016,06:02
6656,Airport,13,Trip Completed,15-07-2016 22:08,15-07-2016,22:08,Night,15-07-2016 22:41,15-07-2016,22:41
139,Airport,14,Trip Completed,11-07-2016 05:21,11-07-2016,05:21,Early Morning,11-07-2016 06:09,11-07-2016,06:09
215,City,14,Trip Completed,11-07-2016 06:15,11-07-2016,06:15,Early Morning,11-07-2016 07:07,11-07-2016,07:07
1816,City,14,Trip Completed,12-07-2016 09:24,12-07-2016,09:24,Morning,12-07-2016 10:07,12-07-2016,10:07
2505,Airport,14,Trip Completed,12-07-2016 21:03,12-07-2016,21:03,Night,12-07-2016 22:14,12-07-2016,22:14
3346,City,14,Trip Completed,13-07-2016 13:01,13-07-2016,13:01,Afternoon,13-07-2016 13:55,13-07-2016,13:55
5294,City,14,Trip Completed,14-07-2016 21:45,14-07-2016,21:45,Night,14-07-2016 22:16,14-07-2016,22:16
6226,Airport,14,Trip Completed,15-07-2016 17:34,15-07-2016,17:34,Evening,15-07-2016 18:33,15-07-2016,18:33
6733,Airport,14,Trip Completed,15-07-2016 23:32,15-07-2016,23:32,Night,16-07-2016 00:37,16-07-2016,00:37
1027,Airport,15,Trip Completed,11-07-2016 19:18,11-07-2016,19:18,Night,11-07-2016 20:24,11-07-2016,20:24
2675,Airport,15,Trip Completed,12-07-2016 23:43,12-07-2016,23:43,Night,13-07-2016 00:35,13-07-2016,00:35
3200,City,15,Trip Completed,13-07-2016 09:39,13-07-2016,09:39,Morning,13-07-2016 10:30,13-07-2016,10:30
3865,City,15,Trip Completed,13-07-2016 21:52,13-07-2016,21:52,Night,13-07-2016 22:21,13-07-2016,22:21
4468,City,15,Trip Completed,14-07-2016 08:42,14-07-2016,08:42,Morning,14-07-2016 09:22,14-07-2016,09:22
5163,Airport,15,Trip Completed,14-07-2016 20:34,14-07-2016,20:34,Night,14-07-2016 21:05,14-07-2016,21:05
6009,City,15,Trip Completed,15-07-2016 12:22,15-07-2016,12:22,Afternoon,15-07-2016 13:25,15-07-2016,13:25
6448,Airport,15,Trip Completed,15-07-2016 20:02,15-07-2016,20:02,Night,15-07-2016 20:40,15-07-2016,20:40
591,City,16,Trip Completed,11-07-2016 11:25,11-07-2016,11:25,Morning,11-07-2016 12:31,11-07-2016,12:31
709,City,16,Trip Completed,11-07-2016 14:16,11-07-2016,14:16,Afternoon,11-07-2016 15:03,11-07-2016,15:03
1167,Airport,16,Trip Completed,11-07-2016 20:50,11-07-2016,20:50,Night,11-07-2016 21:52,11-07-2016,21:52
2661,Airport,16,Trip Completed,12-07-2016 23:23,12-07-2016,23:23,Night,13-07-2016 00:27,13-07-2016,00:27
2808,City,16,Trip Completed,13-07-2016 05:05,13-07-2016,05:05,Early Morning,13-07-2016 05:56,13-07-2016,05:56
3258,Airport,16,Trip Completed,13-07-2016 10:12,13-07-2016,10:12,Morning,13-07-2016 10:45,13-07-2016,10:45
3413,Airport,16,Trip Completed,13-07-2016 15:32,13-07-2016,15:32,Afternoon,13-07-2016 16:45,13-07-2016,16:45
3939,Airport,16,Trip Completed,13-07-2016 22:26,13-07-2016,22:26,Night,13-07-2016 22:55,13-07-2016,22:55
4125,City,16,Trip Completed,14-07-2016 04:37,14-07-2016,04:37,Early Morning,14-07-2016 05:46,14-07-2016,05:46
4457,City,16,Trip Completed,14-07-2016 08:36,14-07-2016,08:36,Morning,14-07-2016 09:19,14-07-2016,09:19
4728,City,16,Trip Completed,14-07-2016 14:04,14-07-2016,14:04,Afternoon,14-07-2016 15:06,14-07-2016,15:06
5347,Airport,16,Trip Completed,14-07-2016 22:51,14-07-2016,22:51,Night,14-07-2016 23:53,14-07-2016,23:53
6147,City,16,Trip Completed,15-07-2016 16:11,15-07-2016,16:11,Evening,15-07-2016 17:30,15-07-2016,17:30
6496,Airport,16,Trip Completed,15-07-2016 20:33,15-07-2016,20:33,Night,15-07-2016 21:32,15-07-2016,21:32
634,City,17,Trip Completed,11-07-2016 12:25,11-07-2016,12:25,Afternoon,11-07-2016 13:06,11-07-2016,13:06
939,Airport,17,Trip Completed,11-07-2016 18:25,11-07-2016,18:25,Evening,11-07-2016 19:26,11-07-2016,19:26
2628,Airport,17,Trip Completed,12-07-2016 22:10,12-07-2016,22:10,Night,12-07-2016 23:25,12-07-2016,23:25
3021,City,17,Trip Completed,13-07-2016 07:33,13-07-2016,07:33,Morning,13-07-2016 08:26,13-07-2016,08:26
4743,City,17,Trip Completed,14-07-2016 14:54,14-07-2016,14:54,Afternoon,14-07-2016 15:39,14-07-2016,15:39
4981,City,17,Trip Completed,14-07-2016 18:47,14-07-2016,18:47,Evening,14-07-2016 19:43,14-07-2016,19:43
5367,Airport,17,Trip Completed,14-07-2016 23:35,14-07-2016,23:35,Night,15-07-2016 00:25,15-07-2016,00:25
5471,Airport,17,Trip Completed,15-07-2016 04:48,15-07-2016,04:48,Early Morning,15-07-2016 05:47,15-07-2016,05:47
5988,Airport,17,Trip Completed,15-07-2016 11:48,15-07-2016,11:48,Morning,15-07-2016 12:55,15-07-2016,12:55
6477,Airport,17,Trip Completed,15-07-2016 20:21,15-07-2016,20:21,Night,15-07-2016 21:00,15-07-2016,21:00
499,City,18,Trip Completed,11-07-2016 09:39,11-07-2016,09:39,Morning,11-07-2016 10:16,11-07-2016,10:16
1147,Airport,18,Trip Completed,11-07-2016 20:42,11-07-2016,20:42,Night,11-07-2016 21:18,11-07-2016,21:18
1410,Airport,18,Trip Completed,12-07-2016 03:14,12-07-2016,03:14,Early Morning,12-07-2016 04:27,12-07-2016,04:27
1804,Airport,18,Trip Completed,12-07-2016 09:12,12-07-2016,09:12,Morning,12-07-2016 09:57,12-07-2016,09:57
1949,Airport,18,Trip Completed,12-07-2016 11:32,12-07-2016,11:32,Morning,12-07-2016 12:13,12-07-2016,12:13
2713,City,18,Trip Completed,13-07-2016 01:46,13-07-2016,01:46,Early Morning,13-07-2016 02:37,13-07-2016,02:37
2845,City,18,Trip Completed,13-07-2016 05:28,13-07-2016,05:28,Early Morning,13-07-2016 06:10,13-07-2016,06:10
3943,Airport,18,Trip Completed,13-07-2016 22:35,13-07-2016,22:35,Night,13-07-2016 23:33,13-07-2016,23:33
4792,City,18,Trip Completed,14-07-2016 16:47,14-07-2016,16:47,Evening,14-07-2016 17:34,14-07-2016,17:34
5207,Airport,18,Trip Completed,14-07-2016 20:57,14-07-2016,20:57,Night,14-07-2016 21:56,14-07-2016,21:56
5890,City,18,Trip Completed,15-07-2016 09:43,15-07-2016,09:43,Morning,15-07-2016 10:55,15-07-2016,10:55
494,City,19,Trip Completed,11-07-2016 09:36,11-07-2016,09:36,Morning,11-07-2016 10:02,11-07-2016,10:02
1485,City,19,Trip Completed,12-07-2016 05:21,12-07-2016,05:21,Early Morning,12-07-2016 06:35,12-07-2016,06:35
2042,City,19,Trip Completed,12-07-2016 14:30,12-07-2016,14:30,Afternoon,12-07-2016 15:09,12-07-2016,15:09
2561,Airport,19,Trip Completed,12-07-2016 21:29,12-07-2016,21:29,Night,12-07-2016 22:44,12-07-2016,22:44
3813,Airport,19,Trip Completed,13-07-2016 21:06,13-07-2016,21:06,Night,13-07-2016 21:46,13-07-2016,21:46
4260,Airport,19,Trip Completed,14-07-2016 06:11,14-07-2016,06:11,Early Morning,14-07-2016 06:59,14-07-2016,06:59
4395,City,19,Trip Completed,14-07-2016 08:00,14-07-2016,08:00,Morning,14-07-2016 08:54,14-07-2016,08:54
5919,City,19,Trip Completed,15-07-2016 10:03,15-07-2016,10:03,Morning,15-07-2016 10:59,15-07-2016,10:59
6002,Airport,19,Trip Completed,15-07-2016 12:04,15-07-2016,12:04,Afternoon,15-07-2016 12:53,15-07-2016,12:53
468,City,20,Trip Completed,11-07-2016 09:20,11-07-2016,09:20,Morning,11-07-2016 10:05,11-07-2016,10:05
693,Airport,20,Trip Completed,11-07-2016 13:51,11-07-2016,13:51,Afternoon,11-07-2016 15:01,11-07-2016,15:01
1178,City,20,Trip Completed,11-07-2016 21:05,11-07-2016,21:05,Night,11-07-2016 22:06,11-07-2016,22:06
2103,City,20,Trip Completed,12-07-2016 16:08,12-07-2016,16:08,Evening,12-07-2016 17:18,12-07-2016,17:18
2292,Airport,20,Trip Completed,12-07-2016 18:46,12-07-2016,18:46,Evening,12-07-2016 19:23,12-07-2016,19:23
3339,City,20,Trip Completed,13-07-2016 12:40,13-07-2016,12:40,Afternoon,13-07-2016 13:30,13-07-2016,13:30
3694,City,20,Trip Completed,13-07-2016 19:33,13-07-2016,19:33,Night,13-07-2016 20:35,13-07-2016,20:35
4469,City,20,Trip Completed,14-07-2016 08:45,14-07-2016,08:45,Morning,14-07-2016 09:48,14-07-2016,09:48
6432,City,20,Trip Completed,15-07-2016 19:50,15-07-2016,19:50,Night,15-07-2016 20:30,15-07-2016,20:30
1895,City,21,Trip Completed,12-07-2016 10:20,12-07-2016,10:20,Morning,12-07-2016 10:52,12-07-2016,10:52
1981,Airport,21,Trip Completed,12-07-2016 12:23,12-07-2016,12:23,Afternoon,12-07-2016 12:56,12-07-2016,12:56
3744,Airport,21,Trip Completed,13-07-2016 20:28,13-07-2016,20:28,Night,13-07-2016 21:22,13-07-2016,21:22
4433,Airport,21,Trip Completed,14-07-2016 08:26,14-07-2016,08:26,Morning,14-07-2016 09:12,14-07-2016,09:12
6039,Airport,21,Trip Completed,15-07-2016 13:11,15-07-2016,13:11,Afternoon,15-07-2016 13:38,15-07-2016,13:38
6543,City,21,Trip Completed,15-07-2016 20:54,15-07-2016,20:54,Night,15-07-2016 22:12,15-07-2016,22:12
110,City,22,Trip Completed,11-07-2016 05:05,11-07-2016,05:05,Early Morning,11-07-2016 06:06,11-07-2016,06:06
362,City,22,Trip Completed,11-07-2016 08:01,11-07-2016,08:01,Morning,11-07-2016 09:18,11-07-2016,09:18
666,Airport,22,Trip Completed,11-07-2016 13:02,11-07-2016,13:02,Afternoon,11-07-2016 13:45,11-07-2016,13:45
926,City,22,Trip Completed,11-07-2016 18:28,11-07-2016,18:28,Evening,11-07-2016 19:34,11-07-2016,19:34
1180,Airport,22,Trip Completed,11-07-2016 21:01,11-07-2016,21:01,Night,11-07-2016 22:14,11-07-2016,22:14
1900,City,22,Trip Completed,12-07-2016 10:32,12-07-2016,10:32,Morning,12-07-2016 11:42,12-07-2016,11:42
2506,City,22,Trip Completed,12-07-2016 21:01,12-07-2016,21:01,Night,12-07-2016 21:38,12-07-2016,21:38
3064,City,22,Trip Completed,13-07-2016 08:02,13-07-2016,08:02,Morning,13-07-2016 08:58,13-07-2016,08:58
3327,Airport,22,Trip Completed,13-07-2016 12:24,13-07-2016,12:24,Afternoon,13-07-2016 13:23,13-07-2016,13:23
3601,City,22,Trip Completed,13-07-2016 18:39,13-07-2016,18:39,Evening,13-07-2016 19:29,13-07-2016,19:29
4768,Airport,22,Trip Completed,14-07-2016 15:39,14-07-2016,15:39,Afternoon,14-07-2016 16:49,14-07-2016,16:49
5142,City,22,Trip Completed,14-07-2016 20:17,14-07-2016,20:17,Night,14-07-2016 20:48,14-07-2016,20:48
5366,Airport,22,Trip Completed,14-07-2016 23:27,14-07-2016,23:27,Night,15-07-2016 00:19,15-07-2016,00:19
5575,City,22,Trip Completed,15-07-2016 05:53,15-07-2016,05:53,Early Morning,15-07-2016 06:50,15-07-2016,06:50
5902,City,22,Trip Completed,15-07-2016 09:52,15-07-2016,09:52,Morning,15-07-2016 10:37,15-07-2016,10:37
6694,Airport,22,Trip Completed,15-07-2016 22:45,15-07-2016,22:45,Night,15-07-2016 23:17,15-07-2016,23:17
523,Airport,23,Trip Completed,11-07-2016 09:48,11-07-2016,09:48,Morning,11-07-2016 10:37,11-07-2016,10:37
747,City,23,Trip Completed,11-07-2016 15:53,11-07-2016,15:53,Afternoon,11-07-2016 16:43,11-07-2016,16:43
1371,Airport,23,Trip Completed,12-07-2016 00:22,12-07-2016,00:22,Early Morning,12-07-2016 01:33,12-07-2016,01:33
1553,City,23,Trip Completed,12-07-2016 06:09,12-07-2016,06:09,Early Morning,12-07-2016 07:09,12-07-2016,07:09
